Airline,AirlineID,Source,Destination,Total_Stops,DurationMinutes,DayOfWeek,IsWeekend,Price,DepartureHour,DepartureDay,DepartureMonth,DepartureWeekday
3,3,0,3,0,0.03411131059245961,6,1,3897,0.9565217391304348,24,3,6
1,1,2,0,2,0.13285457809694795,2,0,7662,0.21739130434782608,1,5,2
4,4,3,2,2,0.38240574506283664,6,1,13882,0.3913043478260869,9,6,6
3,3,2,0,1,0.08976660682226212,6,1,6218,0.7826086956521738,12,5,6
3,3,0,3,1,0.07540394973070018,4,0,13302,0.6956521739130435,1,3,4
8,8,2,0,0,0.02513464991023339,0,0,3873,0.3913043478260869,24,6,0
4,4,0,3,1,0.30700179533213645,1,0,11087,0.7826086956521738,12,3,1
4,4,0,3,1,0.4272890484739677,4,0,22270,0.34782608695652173,1,3,4
4,4,0,3,1,0.5224416517055656,1,0,11087,0.34782608695652173,12,3,1
6,6,3,2,1,0.14183123877917414,0,0,8625,0.4782608695652174,27,5,0
1,1,3,2,1,0.25852782764811494,5,1,8907,0.3913043478260869,1,6,5
3,3,2,0,0,0.02872531418312388,3,0,4174,0.8695652173913043,18,4,3
1,1,4,1,0,0.02154398563734291,0,0,4667,0.4782608695652174,24,6,0
4,4,2,0,1,0.23518850987432677,3,0,9663,0.9130434782608695,9,5,3
3,3,2,0,0,0.02872531418312388,2,0,4804,0.7391304347826086,24,4,2
1,1,3,2,2,0.5457809694793537,6,1,14011,0.6956521739130435,3,3,6
8,8,3,2,1,0.07001795332136446,0,0,5830,0.34782608695652173,15,4,0
4,4,3,2,1,0.45960502692998206,2,0,10262,0.6086956521739131,12,6,2
1,1,3,2,2,0.4685816876122083,2,0,13381,0.8695652173913043,12,6,2
4,4,3,2,1,0.4165170556552963,0,0,12898,0.6956521739130435,27,5,0
2,2,3,2,1,0.0843806104129264,2,0,19495,0.6086956521739131,6,3,2
1,1,0,3,1,0.303411131059246,3,0,6955,0.9565217391304348,21,3,3
3,3,0,3,0,0.03411131059245961,2,0,3943,0.17391304347826086,3,4,2
3,3,0,3,0,0.035906642728904856,2,0,4823,0.7826086956521738,1,5,2
4,4,2,0,1,0.26032315978456017,0,0,7757,0.7826086956521738,6,5,0
4,4,3,2,2,0.2998204667863555,6,1,13292,0.9130434782608695,9,6,6
3,3,3,2,1,0.0969479353680431,5,1,8238,0.9130434782608695,1,6,5
2,2,3,2,1,0.10053859964093358,2,0,7682,0.30434782608695654,15,5,2
10,10,0,3,0,0.03411131059245961,1,0,4668,0.3913043478260869,18,6,1
10,10,4,1,0,0.02154398563734291,5,1,3687,0.30434782608695654,15,6,5
10,10,4,1,0,0.02154398563734291,1,0,3687,0.30434782608695654,18,6,1
1,1,2,0,2,0.2621184919210054,2,0,13227,0.3913043478260869,1,5,2
3,3,0,3,0,0.03411131059245961,5,1,4423,0.17391304347826086,6,4,5
4,4,3,2,2,0.4470377019748654,5,1,10919,0.6086956521739131,15,6,5
4,4,3,2,1,0.09156193895870737,5,1,12373,0.30434782608695654,18,5,5
3,3,3,2,1,0.19748653500897667,3,0,5894,0.43478260869565216,27,6,3
8,8,2,0,1,0.08617594254937164,1,0,4649,0.6521739130434783,21,5,1
1,1,2,0,0,0.026929982046678638,5,1,6245,0.6086956521739131,18,5,5
4,4,0,3,1,0.10771992818671454,2,0,19225,0.30434782608695654,6,3,2
4,4,3,2,1,0.22980251346499103,0,0,14924,0.30434782608695654,3,6,0
6,6,3,2,1,0.2118491921005386,1,0,9646,0.30434782608695654,21,5,1
1,1,0,3,1,0.15619389587073612,4,0,8714,0.2608695652173913,15,3,4
4,4,3,2,1,0.44883303411131065,5,1,12373,0.8695652173913043,18,5,5
0,0,0,3,0,0.03231597845601437,0,0,3383,0.4782608695652174,6,5,0
6,6,3,2,1,0.23159784560143631,3,0,13062,0.3913043478260869,21,3,3
8,8,0,3,0,0.03411131059245961,6,1,3527,0.21739130434782608,24,3,6
3,3,0,3,0,0.03411131059245961,0,0,3943,0.17391304347826086,27,5,0
1,1,4,1,0,0.02154398563734291,4,0,4667,0.4782608695652174,3,5,4
1,1,2,0,1,0.31956912028725315,2,0,6117,0.8260869565217391,15,5,2
4,4,3,2,2,0.4021543985637343,3,0,11150,1.0,27,6,3
4,4,3,2,0,0.04308797127468582,5,1,7202,0.4782608695652174,9,3,5
4,4,2,0,1,0.5188509874326751,2,0,12121,0.3913043478260869,1,5,2
3,3,0,3,0,0.03411131059245961,6,1,4377,0.9565217391304348,24,3,6
3,3,0,3,0,0.037701974865350096,1,0,3943,0.9130434782608695,18,6,1
0,0,0,3,0,0.03411131059245961,2,0,4483,1.0,3,4,2
4,4,2,0,1,0.32315978456014366,6,1,14231,0.8260869565217391,24,3,6
1,1,0,3,2,0.29802513464991026,4,0,17345,0.34782608695652173,1,3,4
10,10,4,1,0,0.02154398563734291,2,0,7414,0.30434782608695654,6,3,2
6,6,3,2,1,0.11310592459605028,0,0,8073,0.8260869565217391,6,5,0
10,10,1,4,1,0.5134649910233393,2,0,12395,0.6521739130434783,6,3,2
1,1,2,0,1,0.2405745062836625,3,0,8366,0.3913043478260869,6,6,3
